,Unnamed: 0,Rating,Review,lang,cleaned
80244,3085,5,"I started playing this game ever since it came out and I loved the game all the way. Apart from the gems which are a pain in the butt to earn, the games concept of fighting is great!!! Way to go Cubic!!!! Keep up the good work!!😄",en,"I start play this game ever since it come out and I love the game all the way . Apart from the gem which be a pain in the butt to earn , the game concept of fighting be great exclamation_point exclamation_point exclamation_point Way to go Cubic exclamation_point exclamation_point exclamation_point exclamation_point Keep up the good work exclamation_point exclamation_point 😄"
80245,3086,4,This game is amazing all around but it takes up 2GB and it has a lot of problems updating for me.,en,This game be amaze all around but it take up 2GB and it have a lot of problem update for me .
80246,3087,5,"I love this game sooo much , but it won’t let me update to version 13.5 plz help:(",en,"I love this game sooo much , but it win ’ t let me update to version 13.5 plz help : ("
80247,3088,5,Brilliant game 10/10,en,Brilliant game 10/10
80248,3089,3,I like the game but it costs lots much gems to get guns and it is every laggy and glitchy when I play the game I used to like it which I still do but I won’t get it again because it is to laggy and glitchy,en,I like the game but it cost lots much gem to get gun and it be every laggy and glitchy when I play the game I use to like it which I still do but I win ’ t get it again because it be to laggy and glitchy
80252,3093,5,Kill all the hackers bitch!🤬😤🤬🤬🤬😡🤯,en,Kill all the hacker bitch exclamation_point 🤬😤🤬🤬🤬😡🤯
80254,3095,1,"This game is so bad hackers are everywhere, graphics are terrible, same with gameplay. This game was so bad I hope I never play it again. Can you at least take down these websites:Pixelgun.club pixelgun3dhacker.com",en,"This game be so bad hacker be everywhere , graphic be terrible , same with gameplay . This game be so bad I hope I never play it again . Can you at least take down these website : Pixelgun.club pixelgun3dhacker.com"
80255,3096,1,When If you don’t start updating the game for Android and apple at the same time I will rate your game a 1 STAR EVERY FUDGING DAY UNTIL IT BECOMES A ONE STAR RATING AND I AM NOT LIEING JACK ACES1. 2/11/18,en,When If you don ’ t start update the game for Android and apple at the same time I will rate your game a 1 STAR EVERY FUDGING DAY UNTIL IT BECOMES A ONE STAR RATING AND I AM NOT LIEING JACK ACES1 . 2/11/18
80256,3097,4,"This game is great, but could you fond a way to make it not take up 2GB'S of storage? Thanks!",en,"This game be great , but could you fond a way to make it not take up 2GB 'S of storage ? Thanks exclamation_point"
80257,3098,1,It doesn’t give me updates,en,It doesn ’ t give me update
80258,3099,5,It is a good hame and is fun to watch yourself level up!!! I hope other people feel the same way!!,en,It be a good hame and be fun to watch yourself level up exclamation_point exclamation_point exclamation_point I hope other people feel the same way exclamation_point exclamation_point
80259,3100,5,Me and my brother have bin playing for a year and we are having so much fun,en,Me and my brother have bin playing for a year and we be have so much fun
80260,3101,4,There is a lot of hackers in the game they are always playing siege please get rid of them and when is the update for pixel gun iPhone going to come out?,en,There be a lot of hacker in the game they be always play siege please get rid of them and when be the update for pixel gun iPhone go to come out ?
80261,3102,5,I think it is a great game with really cool weapens,en,I think it be a great game with really cool weapens
80262,3103,4,Your game is great but I just have one suggestion. I know this is really short but I think you should add a trading system where you could trade guns and pets. Thank you if you are reading this.,en,Your game be great but I just have one suggestion . I know this be really short but I think you should add a trading system where you could trade gun and pet . Thank you if you be read this .
80263,3104,4,"Is a really good game. But whenever you enter into a league and lose one battle, you lose a lot of points. So you really only have to lose a couple games to get dropped a league. Other than that, the game is really good. I play this game a lot. Only a few minor problems, but other then that, the game is really good",en,"Is a really good game . But whenever you enter into a league and lose one battle , you lose a lot of point . So you really only have to lose a couple game to get drop a league . Other than that , the game be really good . I play this game a lot . Only a few minor problem , but other then that , the game be really good"
80264,3105,3,"I started playing this game when it had only about 15-20 guns and 10 maps. That was when I was 6 or 7 I believe and now, i’m 12. Those were the best days of PG3D until the op weapons came into the game. Thats when the game started to go downhill. Thousands of players began to obtain the op weapons and I could barely get a good shot on them. I stopped playing this game a year or two ago because of all of the players using maxed out weapons that become a one shot one kill weapon. You guys also removed the good old maps like science lab I think it was. That was my favorite map! I had so many epic, fun, and intense memories there and now, the map is gone. Please allow the players to gain gems and coins easier so we at least have a chance against the pay-2-win players. You probably wont read my long review but if you do, please make your game the best one out there! Not a pay-2-win game. I really look forward for the future of PG3D. This is a game I treasure so don’t screw it up.",en,"I start play this game when it have only about 15-20 gun and 10 map . That be when I be 6 or 7 I believe and now , i ’ m 12 . Those be the best day of PG3D until the op weapon come into the game . Thats when the game start to go downhill . Thousands of player begin to obtain the op weapon and I could barely get a good shot on them . I stop play this game a year or two ago because of all of the player use maxed out weapon that become a one shot one kill weapon . You guy also remove the good old map like science lab I think it be . That be my favorite map exclamation_point I have so many epic , fun , and intense memory there and now , the map be go . Please allow the player to gain gem and coin easier so we at least have a chance against the pay-2-win player . You probably wont read my long review but if you do , please make your game the best one out there exclamation_point Not a pay-2-win game . I really look forward for the future of PG3D . This be a game I treasure so don ’ t screw it up ."
80265,3106,5,Not a lot of adds,en,Not a lot of add
80266,3107,5,Please do the update on iOS please my friends are enjoying it on android and I’m not on iOS please here’s a 5stars add me on pixel gun NîghtKîłłer,en,Please do the update on iOS please my friend be enjoy it on android and I ’ m not on iOS please here ’ s a star add me on pixel gun NîghtKîłłer
80268,3109,4,"I’m a big fan of PG3D, level 38 and all hat good stuff, but I was playing the game today and I noticed that whenever I win a round it says “daily max” for the medals. I want to earn more medals for the clan that I’m in to get Big Clan Chest but I can’t. Please fix this",en,"I ’ m a big fan of PG3D , level 38 and all hat good stuff , but I be play the game today and I notice that whenever I win a round it say “ daily max ” for the medal . I want to earn more medal for the clan that I ’ m in to get Big Clan Chest but I can ’ t . Please fix this"
